times,senders,I_syn_ex,V_m
0.1,1,0.0,19.144638103412213
0.1,3,0.0,19.18443860257992
0.1,5,0.0,19.224239101747624
0.1,7,0.0,19.264039600915336
0.1,9,0.0,19.303840100083043
0.1,11,0.0,19.343640599250747
0.1,13,0.0,19.383441098418455
0.1,15,0.0,19.423241597586166
0.1,17,0.0,19.46304209675387
0.1,19,0.0,19.502842595921578
0.1,21,0.0,19.542643095089286
0.1,23,0.0,19.582443594256993
0.1,25,0.0,19.6222440934247
0.1,27,0.0,19.66204459259241
0.1,29,0.0,19.701845091760113
0.1,31,0.0,19.741645590927824
0.1,33,0.0,19.781446090095532
0.1,35,0.0,19.821246589263236
0.1,37,0.0,19.861047088430944
0.1,39,0.0,19.900847587598655
0.1,41,0.0,19.94064808676636
0.1,43,0.0,19.980448585934067
0.1,45,0.0,0.0
0.1,47,0.0,0.0
0.1,49,0.0,0.0
0.2,1,0.0,19.288554821274126
0.2,3,0.0,19.328156814624094
0.2,5,0.0,19.367758807974056
0.2,7,0.0,19.407360801324028
0.2,9,0.0,19.446962794673993
0.2,11,0.0,19.48656478802396
0.2,13,5.892763167773649,19.52651140902454
0.2,15,0.0,19.565768774723896
0.2,17,1.5283451081820774,19.605415413804284
0.2,19,0.0,19.644972761423826
0.2,21,0.0,19.684574754773795
0.2,23,0.0,19.72417674812376
0.2,25,0.0,19.76377874147373
0.2,27,0.0,19.803380734823694
0.2,29,0.0,19.84298272817366
0.2,31,0.0,19.882584721523628
0.2,33,0.0,19.922186714873597
0.2,35,0.0,19.96178870822356
0.2,37,0.0,0.0
0.2,39,0.0,0.0
0.2,41,0.0,0.0
0.2,43,0.0,0.0
0.2,45,0.0,0.0
0.2,47,0.054158098794949865,0.0
0.2,49,0.0,0.0
0.3,1,0.0,19.43175375151118
0.3,3,5.5857812938153355,19.471827105059678
0.3,5,0.0,19.510562706679423
0.3,7,0.0,19.54996718426355
0.3,9,0.0,19.58937166184767
0.3,11,0.0,19.628776139431793
0.3,13,21.635767216037138,19.67424623484826
0.3,15,0.0,19.70758509460004
0.3,17,9.899550058051778,19.74943442856294
0.3,19,0.0,19.786394049768283
0.3,21,0.0,19.825798527352408
0.3,23,0.0,19.86520300493653
0.3,25,0.0,19.904607482520653
0.3,27,3.1947277017427234,19.944109672833736
0.3,29,5.5857812938153355,19.984085313653267
0.3,31,13.531680810227972,0.0
0.3,33,0.0,0.0
0.3,35,0.0,0.0
0.3,37,0.0,0.0
0.3,39,0.0,0.0
0.3,41,0.0,0.0
0.3,43,0.0,0.0
0.3,45,5.5857812938153355,0.0
0.3,47,17.839797938699462,0.0
0.3,49,0.0,0.0
