times,senders,I_syn_ex,V_m
0.1,2,0.0,0.0
0.1,4,0.0,0.0
0.1,6,0.0,0.0
0.1,8,0.0,0.0
0.1,10,0.0,0.0
0.1,12,0.0,0.0
0.1,14,0.0,0.0
0.1,16,0.0,0.0
0.1,18,0.0,0.0
0.1,20,0.0,0.0
0.1,22,0.0,0.0
0.1,24,0.0,0.0
0.1,26,0.0,0.0
0.1,28,0.0,0.0
0.1,30,0.0,0.0
0.1,32,0.0,0.0
0.1,34,0.0,0.0
0.1,36,0.0,0.0
0.1,38,0.0,0.0
0.1,40,0.0,0.0
0.1,42,0.0,0.0
0.1,44,0.0,0.0
0.1,46,0.0,0.0
0.1,48,0.0,0.0
0.1,50,0.0,0.0
0.2,2,0.0,0.0
0.2,4,0.0,0.0
0.2,6,0.0,0.0
0.2,8,0.0,0.0
0.2,10,0.0,0.0
0.2,12,0.0,0.0
0.2,14,0.0,0.0
0.2,16,0.0,0.0
0.2,18,0.0,0.0
0.2,20,0.0,0.0
0.2,22,0.0,0.0
0.2,24,0.0,0.0
0.2,26,0.0,0.0
0.2,28,0.0,0.0
0.2,30,0.0,0.0
0.2,32,0.0,0.0
0.2,34,0.0,0.0
0.2,36,0.0,0.0
0.2,38,0.0,0.0
0.2,40,0.0,0.0
0.2,42,0.0,0.0
0.2,44,0.0,0.0
0.2,46,0.0,0.0
0.2,48,0.0,0.0
0.2,50,0.0,0.0
0.3,2,8.90216371396987,0.0
0.3,4,8.90216371396987,0.0
0.3,6,17.80432742793974,0.0
0.3,8,17.80432742793974,0.0
0.3,10,8.90216371396987,0.0
0.3,12,8.90216371396987,0.0
0.3,14,8.90216371396987,0.0
0.3,16,8.90216371396987,0.0
0.3,18,8.90216371396987,0.0
0.3,20,8.90216371396987,0.0
0.3,22,17.80432742793974,0.0
0.3,24,17.80432742793974,0.0
0.3,26,8.90216371396987,0.0
0.3,28,8.90216371396987,0.0
0.3,30,8.90216371396987,0.0
0.3,32,8.90216371396987,0.0
0.3,34,8.90216371396987,0.0
0.3,36,8.90216371396987,0.0
0.3,38,8.90216371396987,0.0
0.3,40,17.80432742793974,0.0
0.3,42,17.80432742793974,0.0
0.3,44,17.80432742793974,0.0
0.3,46,17.80432742793974,0.0
0.3,48,8.90216371396987,0.0
0.3,50,8.90216371396987,0.0
