times,senders
0.2,1
0.2,3
0.2,5
0.2,7
0.2,9
0.2,11
0.2,13
0.2,15
0.2,17
0.2,19
0.2,21
0.2,23
0.2,25
0.2,27
0.2,29
0.2,31
0.2,33
0.2,35
0.2,37
0.2,39
0.2,41
0.2,43
0.2,45
0.2,47
0.2,49
0.3,1
0.3,1
0.3,3
0.3,5
0.3,7
0.3,9
0.3,11
0.3,13
0.3,13
0.3,15
0.3,15
0.3,17
0.3,19
0.3,21
0.3,23
0.3,25
0.3,27
0.3,27
0.3,29
0.3,31
0.3,31
0.3,33
0.3,33
0.3,35
0.3,37
0.3,39
0.3,41
0.3,41
0.3,43
0.3,45
0.3,47
0.3,47
0.3,49
0.3,49
0.4,1
0.4,1
0.4,3
0.4,3
0.4,5
0.4,7
0.4,9
0.4,11
0.4,13
0.4,13
0.4,13
0.4,13
0.4,15
0.4,15
0.4,17
0.4,19
0.4,19
0.4,21
0.4,23
0.4,23
0.4,25
0.4,27
0.4,27
0.4,29
0.4,29
0.4,31
0.4,31
0.4,31
0.4,31
0.4,33
0.4,33
0.4,35
0.4,37
0.4,39
0.4,41
0.4,41
0.4,43
0.4,45
0.4,45
0.4,47
0.4,47
0.4,47
0.4,47
0.4,49
0.4,49
