times,senders,I_syn_ex,V_m
0.1,1,0.0,19.144638103412213
0.1,2,0.0,19.164538352996065
0.1,3,0.0,19.18443860257992
0.1,4,0.0,19.204338852163772
0.1,5,0.0,19.224239101747624
0.1,6,0.0,19.244139351331484
0.1,7,0.0,19.264039600915336
0.1,8,0.0,19.283939850499188
0.1,9,0.0,19.303840100083043
0.1,10,0.0,19.323740349666895
0.1,11,0.0,19.343640599250747
0.1,12,0.0,19.363540848834603
0.1,13,0.0,19.383441098418455
0.1,14,0.0,19.40334134800231
0.1,15,0.0,19.423241597586166
0.1,16,0.0,19.44314184717002
0.1,17,0.0,19.46304209675387
0.1,18,0.0,19.482942346337726
0.1,19,0.0,19.502842595921578
0.1,20,0.0,19.52274284550543
0.1,21,0.0,19.542643095089286
0.1,22,0.0,19.56254334467314
0.1,23,0.0,19.582443594256993
0.1,24,0.0,19.60234384384085
0.1,25,0.0,19.6222440934247
0.1,26,0.0,19.642144343008553
0.1,27,0.0,19.66204459259241
0.1,28,0.0,19.68194484217626
0.1,29,0.0,19.701845091760113
0.1,30,0.0,19.72174534134397
0.1,31,0.0,19.741645590927824
0.1,32,0.0,19.761545840511676
0.1,33,0.0,19.781446090095532
0.1,34,0.0,19.801346339679384
0.1,35,0.0,19.821246589263236
0.1,36,0.0,19.84114683884709
0.1,37,0.0,19.861047088430944
0.1,38,0.0,19.880947338014796
0.1,39,0.0,19.900847587598655
0.1,40,0.0,19.920747837182507
0.1,41,0.0,19.94064808676636
0.1,42,0.0,19.96054833635021
0.1,43,0.0,19.980448585934067
0.1,44,0.0,0.0
0.1,45,0.0,0.0
0.1,46,0.0,0.0
0.1,47,0.0,0.0
0.1,48,0.0,0.0
0.1,49,0.0,0.0
0.1,50,0.0,0.0
0.2,1,0.0,19.288554821274126
0.2,2,0.0,19.308355817949106
0.2,3,0.0,19.328156814624094
0.2,4,0.0,19.347957811299075
0.2,5,0.0,19.367758807974056
0.2,6,0.0,19.387559804649047
0.2,7,0.0,19.407360801324028
0.2,8,0.0,19.42716179799901
0.2,9,0.0,19.446962794673993
0.2,10,0.0,19.466763791348978
0.2,11,0.0,19.48656478802396
0.2,12,0.0,19.506365784698943
0.2,13,0.0,19.526166781373924
0.2,14,0.0,19.54596777804891
0.2,15,0.0,19.565768774723896
0.2,16,0.0,19.585569771398877
0.2,17,0.0,19.60537076807386
0.2,18,0.0,19.625171764748846
0.2,19,0.0,19.644972761423826
0.2,20,0.0,19.664773758098807
0.2,21,0.0,19.684574754773795
0.2,22,0.0,19.70437575144878
0.2,23,0.0,19.72417674812376
0.2,24,0.0,19.743977744798745
0.2,25,0.0,19.76377874147373
0.2,26,0.0,19.78357973814871
0.2,27,0.0,19.803380734823694
0.2,28,0.0,19.82318173149868
0.2,29,0.0,19.84298272817366
0.2,30,0.0,19.862783724848644
0.2,31,0.0,19.882584721523628
0.2,32,0.0,19.902385718198612
0.2,33,0.0,19.922186714873597
0.2,34,0.0,19.941987711548578
0.2,35,0.0,19.96178870822356
0.2,36,0.0,19.981589704898546
0.2,37,0.0,0.0
0.2,38,0.0,0.0
0.2,39,0.0,0.0
0.2,40,0.0,0.0
0.2,41,0.0,0.0
0.2,42,0.0,0.0
0.2,43,0.0,0.0
0.2,44,0.0,0.0
0.2,45,0.0,0.0
0.2,46,0.0,0.0
0.2,47,0.0,0.0
0.2,48,0.0,0.0
0.2,49,0.0,0.0
0.2,50,0.0,0.0
0.3,1,0.0,19.43175375151118
0.3,2,8.90216371396987,19.453358020303753
0.3,3,0.0,19.471158229095305
0.3,4,0.0,19.490860467887366
0.3,5,0.0,19.510562706679423
0.3,6,8.90216371396987,19.532166975472006
0.3,7,0.0,19.54996718426355
0.3,8,8.90216371396987,19.571571453056123
0.3,9,0.0,19.58937166184767
0.3,10,0.0,19.609073900639736
0.3,11,0.0,19.628776139431793
0.3,12,0.0,19.648478378223857
0.3,13,8.90216371396987,19.67008264701643
0.3,14,0.0,19.68788285580798
0.3,15,0.0,19.70758509460004
0.3,16,0.0,19.727287333392102
0.3,17,8.90216371396987,19.748891602184678
0.3,18,0.0,19.766691810976226
0.3,19,0.0,19.786394049768283
0.3,20,0.0,19.806096288560344
0.3,21,0.0,19.825798527352408
0.3,22,8.90216371396987,19.847402796144983
0.3,23,0.0,19.86520300493653
0.3,24,0.0,19.884905243728593
0.3,25,0.0,19.904607482520653
0.3,26,0.0,19.924309721312714
0.3,27,0.0,19.944011960104774
0.3,28,0.0,19.963714198896838
0.3,29,0.0,19.983416437688895
0.3,30,8.90216371396987,0.0
0.3,31,0.0,0.0
0.3,32,0.0,0.0
0.3,33,0.0,0.0
0.3,34,8.90216371396987,0.0
0.3,35,0.0,0.0
0.3,36,0.0,0.0
0.3,37,0.0,0.0
0.3,38,0.0,0.0
0.3,39,0.0,0.0
0.3,40,0.0,0.0
0.3,41,0.0,0.0
0.3,42,0.0,0.0
0.3,43,0.0,0.0
0.3,44,8.90216371396987,0.0
0.3,45,0.0,0.0
0.3,46,8.90216371396987,0.0
0.3,47,8.90216371396987,0.0
0.3,48,0.0,0.0
0.3,49,0.0,0.0
0.3,50,8.90216371396987,0.0
